locus_tag,ob,origin?,gene_name,function,logFC,cutoff,logCPM,PValue,q.value,sig
BW25113_0058,46,no,rluA,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",-0.117721721,no,7.552157769,0.530948526,0.777205713,no
BW25113_0059,47,no,rapA,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",-0.368249332,no,9.29015827,0.009688243,0.050168975,no
BW25113_0060,48,no,polB,DNA polymerase II,-0.088059864,no,9.138919523,0.482443505,0.743925196,no
BW25113_0061,49,no,araD,pseudogene,-0.432446141,no,7.185326292,0.041165067,0.159690957,no
BW25113_0064,50,no,araC,ara regulon transcriptional activator; autorepressor,-0.045772318,no,7.487882463,0.811207218,0.930191714,no
BW25113_0065,51,no,yabI,DedA family inner membrane protein,0.068654837,no,7.127917749,0.753942642,0.904362043,no
BW25113_0066,52,no,thiQ,"thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.162558754,no,6.941125897,0.473985696,0.739047972,no
BW25113_0067,53,no,thiP,"thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.111928359,no,8.517430257,0.539679374,0.784115325,no
BW25113_0068,54,no,thiB,"thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.082754322,no,7.553294212,0.699057535,0.88163462,no
BW25113_0069,55,no,sgrR,transcriptional DNA-binding transcriptional activator of sgrS sRNA,-0.112745415,no,8.637837255,0.431957448,0.709670241,no
BW25113_4577,56,no,sgrS,,-0.417592084,no,5.373343518,0.318203288,0.615326078,no
BW25113_4662,57,no,sgrT,inhibitor of glucose uptake,-0.009856795,no,4.741104804,1,1,no
BW25113_0070,58,no,setA,broad specificity sugar efflux system,0.133653634,no,8.701473985,0.316768547,0.613807565,no
BW25113_0071,59,no,leuD,3-isopropylmalate dehydratase small subunit,0.090540493,no,7.59517945,0.640259688,0.848425403,no
BW25113_0072,60,no,leuC,3-isopropylmalate dehydratase large subunit,-0.104706141,no,8.306076286,0.474159604,0.739047972,no
BW25113_0073,61,no,leuB,"3-isopropylmalate dehydrogenase, NAD(+)-dependent",-0.04551853,no,7.834932512,0.826700204,0.937692361,no
BW25113_0074,62,no,leuA,2-isopropylmalate synthase,-0.13296412,no,8.414175235,0.378075328,0.67037365,no
BW25113_0075,63,no,leuL,leu operon leader peptide,-0.29815548,no,8.716297376,0.031242493,0.128916392,no
BW25113_0076,64,no,leuO,global transcription factor,-0.04176494,no,9.390778162,0.751625977,0.90435047,no
BW25113_0077,65,no,ilvI,acetolactate synthase 3 large subunit,-0.218726867,no,9.480872785,0.068585528,0.236668372,no
BW25113_0078,66,no,ilvH,"acetolactate synthase 3, small subunit, valine-sensitive",-0.127855333,no,7.625591898,0.495085515,0.752222954,no
BW25113_0080,67,no,cra,transcriptional repressor-activator for carbon metabolism,0.992439065,no,7.231019993,1.60E-06,1.41E-05,yes
BW25113_0081,68,no,mraZ,RsmH methytransferase inhibitor,-0.046910365,no,6.303531189,0.874240141,0.962646448,no
BW25113_0082,69,no,rsmH,"16S rRNA m(4)C1402 methyltransferase, SAM-dependent",0.407148186,no,6.140903134,0.214464672,0.495696647,no
BW25113_0088,70,no,murD,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,1.289552297,yes,2.842532336,0.086593918,0.27920152,no
BW25113_0092,71,no,ddlB,D-alanine:D-alanine ligase,-0.018126978,no,6.473932372,0.947660288,0.988342393,no
BW25113_0093,72,no,ftsQ,"divisome assembly protein, membrane anchored protein involved in growth of wall at septum",0.095585859,no,3.552863484,0.918420133,0.975665833,no
BW25113_0097,73,no,secM,regulator of secA translation,0.28592804,no,4.427511359,0.59540284,0.818078911,no
BW25113_0099,74,no,mutT,"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",-0.460876726,no,6.053498973,0.138835276,0.382993865,no
BW25113_0101,75,no,yacG,DNA gyrase inhibitor,0.713928693,no,4.323782602,0.145518522,0.393050217,no
BW25113_0102,76,no,zapD,FtsZ stabilizer,-0.424882681,no,6.215874721,0.143210721,0.390122326,no
BW25113_0104,77,no,guaC,GMP reductase,-0.256985987,no,7.443391065,0.174827072,0.439309051,no
BW25113_0106,78,no,hofC,"assembly protein in type IV pilin biogenesis, transmembrane protein",-0.083967446,no,7.695910387,0.651795193,0.85679511,no
BW25113_0107,79,no,hofB,T2SE secretion family protein; P-loop ATPase superfamily protein,-0.494866567,no,7.80267824,0.00378143,0.022290534,yes
BW25113_0108,80,no,ppdD,putative prepilin peptidase-dependent pilin,-0.105153889,no,6.215799982,0.721646599,0.891946509,no
BW25113_0109,81,no,nadC,quinolinate phosphoribosyltransferase,0.007080431,no,6.887094644,1,1,no
BW25113_0110,82,no,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",-0.574758444,no,6.433612007,0.029370475,0.122350967,no
BW25113_0111,83,no,ampE,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation,-0.30663033,no,7.500690178,0.093503589,0.293697171,no
BW25113_0112,84,no,aroP,aromatic amino acid transporter,-0.087766143,no,8.533317471,0.520339419,0.769129157,no
BW25113_0113,85,no,pdhR,pyruvate dehydrogenase complex repressor; autorepressor,0.070741444,no,7.153364231,0.730454066,0.895645899,no
BW25113_0114,86,no,aceE,"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding",1.355462439,yes,5.879282097,8.87E-05,0.00067659,yes
BW25113_0115,87,no,aceF,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",2.391586446,yes,5.303566477,5.53E-08,5.21E-07,yes
BW25113_0117,88,no,yacH,uncharacterized protein,-0.367694941,no,8.494354439,0.008074926,0.043142423,yes
BW25113_0118,89,no,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,0.253744635,no,4.455363162,0.599607519,0.82155242,no
BW25113_0119,90,no,yacL,UPF0231 family protein,-0.57600815,no,6.464612373,0.075061196,0.253873933,no
BW25113_0120,91,no,speD,S-adenosylmethionine decarboxylase,-0.279202924,no,7.382183882,0.172604971,0.435961009,no
BW25113_0121,92,no,speE,spermidine synthase (putrescine aminopropyltransferase),0.199221443,no,6.751321881,0.427401662,0.708420514,no
BW25113_0122,93,no,yacC,PulS_OutS family protein,-0.106505476,no,6.343334898,0.708245612,0.887082655,no
BW25113_0123,94,no,cueO,multicopper oxidase (laccase),-0.315512722,no,7.96037486,0.075576706,0.254957561,no
BW25113_0124,95,no,gcd,glucose dehydrogenase,-0.219531729,no,9.173765642,0.117792293,0.342287463,no
BW25113_0125,96,no,hpt,hypoxanthine phosphoribosyltransferase,0.373434387,no,5.160390609,0.377345228,0.670097899,no
BW25113_0127,97,no,yadG,putative ABC superfamily transporter ATP-binding subunit,-0.048392576,no,7.275338039,0.817636697,0.93436061,no
BW25113_0128,98,no,yadH,inner membrane putative ABC superfamily transporter permease,0.040057994,no,7.430702987,0.859102346,0.952403933,no
BW25113_0129,99,no,yadI,putative PTS Enzyme IIA,-0.596893364,no,6.3614155,0.026921478,0.114584357,no
BW25113_0130,100,no,yadE,putative polysaccharide deacetylase lipoprotein,-0.149396392,no,7.815821735,0.390608774,0.678802142,no
BW25113_0131,101,no,panD,aspartate 1-decarboxylase,-0.335816401,no,5.435356491,0.457059176,0.727292279,no
BW25113_0132,102,no,yadD,transposase_31 family protein,-0.159969243,no,7.79469285,0.369534861,0.664766563,no
BW25113_0133,103,no,panC,pantothenate synthetase,0.005587989,no,7.033370657,0.991464138,1,no
BW25113_0134,104,no,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,-0.149860908,no,7.527744688,0.451019734,0.725072815,no
BW25113_0135,105,no,yadC,putative fimbrial-like adhesin protein,-0.542888795,no,8.94840446,7.73E-05,0.000595627,yes
BW25113_0136,106,no,yadK,putative fimbrial-like adhesin protein,-0.277825334,no,4.803575579,0.559744947,0.795576574,no
BW25113_0137,107,no,yadL,putative fimbrial-like adhesin protein,-0.270119832,no,7.234754133,0.176784021,0.44301424,no
BW25113_0138,108,no,yadM,putative fimbrial-like adhesin protein,-0.932283073,no,6.06528602,0.012578309,0.061865712,no
BW25113_0139,109,no,htrE,putative outer membrane usher protein,-0.284428588,no,10.62187369,0.012961336,0.063273272,no
BW25113_0140,110,no,yadV,putative periplasmic pilin chaperone,-0.437122578,no,9.135746433,0.004727213,0.027052079,yes
BW25113_0141,111,no,yadN,putative fimbrial-like adhesin protein,-0.20014277,no,5.946345383,0.545423832,0.787897626,no
BW25113_0142,112,no,folK,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,-1.742003353,yes,3.671435174,0.0079185,0.042521262,yes
BW25113_0143,113,no,pcnB,poly(A) polymerase,-0.251146105,no,7.179772484,0.220182861,0.50285629,no
BW25113_0144,114,no,gluQ,glutamyl-Q tRNA(Asp) synthetase,-0.192765819,no,7.043787292,0.371387442,0.664766563,no
BW25113_0145,115,no,dksA,"transcriptional regulator of rRNA transcription, DnaK suppressor protein",-0.82655744,no,5.601820668,0.03443346,0.139706468,no
BW25113_0146,116,no,sfsA,sugar fermentation stimulation protein A,-0.159826332,no,8.109244984,0.308774781,0.606715359,no
BW25113_0147,117,no,ligT,2'-5' RNA ligase,-0.346488957,no,6.678189955,0.159949066,0.418837902,no
BW25113_0148,118,no,hrpB,putative ATP-dependent helicase,-0.07749771,no,9.139802842,0.59596873,0.818282809,no
BW25113_0149,119,no,mrcB,fused glycosyl transferase and transpeptidase,-0.346412333,no,8.648221869,0.013170037,0.064052786,no
BW25113_0150,120,no,fhuA,ferrichrome outer membrane transporter,-0.090032192,no,9.124715992,0.574940588,0.802915053,no
BW25113_0151,121,no,fhuC,iron-hydroxamate transporter subunit,-0.203932363,no,7.471175881,0.317157891,0.613955028,no
BW25113_0152,122,no,fhuD,iron-hydroxamate transporter subunit,-0.372354421,no,7.202932926,0.163037548,0.423637882,no
BW25113_0153,123,no,fhuB,fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components,-0.230790926,no,8.237495348,0.158781426,0.416658694,no
BW25113_0155,124,no,clcA,H(+)/Cl(-) exchange transporter,-0.412960838,no,8.485071609,0.005954629,0.03320362,yes
BW25113_0157,125,no,yadS,UPF0126 family inner membrane protein,0.172804868,no,6.63346467,0.497666684,0.753225251,no
BW25113_0158,126,no,btuF,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily,0.012769839,no,6.501541779,0.982465427,1,no
BW25113_0160,127,no,dgt,deoxyguanosine triphosphate triphosphohydrolase,-0.190027693,no,10.4649041,0.134663784,0.374916216,no
BW25113_0161,128,no,degP,"serine endoprotease (protease Do), membrane-associated",-0.417776075,no,7.902708939,0.028069434,0.11767615,no
BW25113_0162,129,no,cdaR,carbohydrate diacid regulon transcriptional regulator; autoregulator,-0.193269011,no,7.55691469,0.284332677,0.57631944,no
BW25113_0163,130,no,yaeH,UPF0325 family protein,-0.325980334,no,6.31187205,0.252052172,0.541022869,no
BW25113_0164,131,no,yaeI,phosphodiesterase with model substrate bis-pNPP,-0.418094759,no,7.484619401,0.036854802,0.146670885,no
BW25113_0167,132,no,glnD,uridylyltransferase,-0.387071261,no,5.248208978,0.370123179,0.664766563,no
BW25113_0174,133,no,ispU,undecaprenyl pyrophosphate synthase,-0.766913791,no,2.6542634,0.401267303,0.684968183,no
BW25113_0178,134,no,skp,periplasmic chaperone,-0.21160037,no,4.735084143,0.709562835,0.887802845,no
BW25113_0183,135,no,rnhB,"ribonuclease HII, degrades RNA of DNA-RNA hybrids",-0.168740377,no,5.094369323,0.706887501,0.886636354,no
BW25113_0186,136,no,ldcC,"lysine decarboxylase 2, constitutive",-0.347554459,no,7.869807305,0.038156512,0.150325155,no
BW25113_0187,137,no,yaeR,putative lyase,0.134757432,no,5.574499887,0.723280273,0.892432694,no
BW25113_0188,138,no,tilS,tRNA(Ile)-lysidine synthetase,0.803843028,no,3.522323434,0.203928991,0.482120577,no
BW25113_0189,139,no,rof,modulator of Rho-dependent transcription termination,-1.396436389,yes,4.83610822,0.005246975,0.029594447,yes
BW25113_4406,140,no,yaeP,UPF0253 family protein,-0.327872599,no,4.272639219,0.589410573,0.812749035,no
BW25113_0190,141,no,yaeQ,PDDEXK superfamily protein,-0.208709376,no,5.833937461,0.609628768,0.828335535,no
BW25113_0191,142,no,arfB,"alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached",-0.436628673,no,6.136361621,0.151838629,0.404903012,no
BW25113_0192,143,no,nlpE,lipoprotein involved with copper homeostasis and adhesion,-0.02597618,no,7.389806663,0.902981145,0.967920724,no
BW25113_0193,144,no,yaeF,putative lipoprotein,-0.251963484,no,7.274865177,0.208422636,0.48768763,no
BW25113_0195,145,no,tsaA,"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent",-0.312500118,no,6.919903752,0.204381725,0.482563492,no
BW25113_0196,146,no,rcsF,putative outer membrane protein,-0.069158599,no,7.069413459,0.797057953,0.924522774,no
BW25113_0197,147,no,metQ,DL-methionine transporter subunit,-0.122790733,no,7.206058242,0.560541208,0.795842642,no
BW25113_0198,148,no,metI,DL-methionine transporter subunit,0.013459499,no,7.393665618,0.952487762,0.989860028,no
BW25113_0199,149,no,metN,DL-methionine transporter subunit,-0.12900085,no,7.730422956,0.554609242,0.792087848,no
BW25113_0200,150,no,gmhB,"D,D-heptose 1,7-bisphosphate phosphatase",2.869669978,yes,5.863918116,1.21E-14,1.45E-13,yes
BW25113_0204,151,no,rrlH,,-0.714237361,no,4.007590529,0.207479097,0.486859574,no
BW25113_0207,152,no,dkgB,"2,5-diketo-D-gluconate reductase B",-0.445831418,no,5.64407747,0.220875702,0.502947545,no
BW25113_0208,153,no,yafC,LysR family putative transcriptional regulator,-0.044455943,no,5.687303873,0.899216851,0.966433979,no
BW25113_0209,154,no,yafD,endo/exonuclease/phosphatase family protein,-0.383983276,no,6.255994521,0.190987179,0.462530931,no
BW25113_0210,155,no,yafE,putative S-adenosyl-L-methionine-dependent methyltransferase,-0.417999447,no,6.367447989,0.12331272,0.352836396,no
BW25113_0211,156,no,mltD,putative membrane-bound lytic murein transglycosylase D,-0.283266256,no,7.831645683,0.13048567,0.36698907,no
BW25113_0212,157,no,gloB,hydroxyacylglutathione hydrolase,-0.767068745,no,5.575204438,0.046936889,0.176746018,no
BW25113_0213,158,no,yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,-0.319620919,no,5.884777273,0.358951179,0.653958844,no
BW25113_0214,159,no,rnhA,"ribonuclease HI, degrades RNA of DNA-RNA hybrids",1.634628923,yes,5.379651432,0.000517734,0.003535744,yes
BW25113_0216,160,no,aspV,,-0.841316686,no,4.934209825,0.108702546,0.324287656,no
BW25113_0217,161,no,yafT,lipoprotein,-0.478656608,no,6.569118257,0.126514348,0.359562647,no
BW25113_0218,162,no,yafU,pseudogene,-0.141433892,no,6.17076125,0.641204005,0.84858869,no
BW25113_4503,163,no,yafF,pseudogene,-0.639339225,no,5.675655605,0.120666006,0.347414953,no
BW25113_0219,164,no,yafV,putative NAD(P)-binding C-N hydrolase family amidase,-0.003533456,no,7.052575248,1,1,no
BW25113_0220,165,no,ivy,"inhibitor of c-type lysozyme, periplasmic",-0.157654211,no,7.245853778,0.476791339,0.740793519,no
BW25113_0221,166,no,fadE,acyl coenzyme A dehydrogenase,0.044529444,no,8.286224606,0.782937735,0.917797824,no
BW25113_0223,167,no,yafJ,putative amidotransfease,0.252455713,no,7.523195931,0.168368818,0.431376319,no
BW25113_0224,168,no,yafK,"L,D-transpeptidase-related protein",-0.472135204,no,7.717069906,0.009812045,0.050743031,no
BW25113_0225,169,no,yafQ,translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ,-0.367453905,no,6.419845729,0.232138135,0.514695412,no
BW25113_0226,170,no,dinJ,antitoxin of YafQ-DinJ toxin-antitoxin system,-0.716118093,no,6.721539219,0.00639909,0.035305356,yes
BW25113_0227,171,no,yafL,putative lipoprotein and C40 family peptidase,-0.39156385,no,7.063114379,0.077503512,0.258564907,no
BW25113_0228,172,no,rayT,RAYT REP element-mobilizing transposase; TnpA(REP),-0.414881145,no,7.166842439,0.049393804,0.184461189,no
BW25113_0229,173,no,lfhA,pseudogene,-0.019542015,no,8.061648152,0.913865113,0.972672073,no
BW25113_0230,174,no,lafU,pseudogene,-0.0833583,no,6.528000799,0.747929718,0.902673798,no
BW25113_0231,175,no,dinB,DNA polymerase IV,-0.366076647,no,6.733892037,0.191830766,0.463610728,no
BW25113_0233,176,no,yafO,mRNA interferase toxin of the YafO-YafN toxin-antitoxin system,0.191963186,no,6.560704305,0.506512964,0.760157281,no
BW25113_0234,177,no,yafP,putative acyl-CoA transferase,0.024233825,no,3.117965174,1,1,no
BW25113_0235,178,no,ykfJ,pseudogene,-0.341535359,no,7.19055235,0.124705212,0.355006849,no
BW25113_0236,179,no,prfH,pseudogene,-0.207559604,no,7.058569058,0.344262113,0.639788776,no
BW25113_0237,180,no,pepD,aminoacyl-histidine dipeptidase (peptidase D),-0.113170654,no,8.367291259,0.472495748,0.738208141,no
BW25113_0238,181,no,gpt,xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase,-0.210124225,no,6.990104376,0.416177872,0.697484932,no
BW25113_0239,182,no,frsA,fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity,-0.363477375,no,8.018097694,0.037440339,0.148248616,no
BW25113_0240,183,no,crl,RNA polymerase holoenzyme assembly factor crl,-0.675594803,no,8.580785931,8.63E-06,7.28E-05,yes
BW25113_0241,184,no,phoE,outer membrane phosphoporin protein E,-0.010624001,no,9.400017897,0.941891487,0.98651913,no
BW25113_0242,185,no,proB,gamma-glutamate kinase,-0.338231038,no,8.134857168,0.069675144,0.239374727,no
BW25113_0243,186,no,proA,gamma-glutamylphosphate reductase,-0.22187624,no,8.293769632,0.197490765,0.472879709,no
BW25113_4626,187,no,ykfN,pseudogene,-0.567151836,no,3.681947299,0.295614475,0.589118424,no
BW25113_0245,188,no,ykfI,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,-0.307351242,no,6.094140231,0.312372254,0.610312655,no
BW25113_0246,189,no,yafW,CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system,-0.392683164,no,6.746243845,0.11597046,0.339256868,no
BW25113_4504,190,no,ykfH,uncharacterized protein,-0.245357835,no,5.697371677,0.594353564,0.817323296,no
BW25113_0247,191,no,ykfG,CP4-6 prophage; RadC-like JAB domain protein,-0.601994929,no,6.954040388,0.022978236,0.100980588,no
BW25113_0248,192,no,yafX,CP4-6 prophage; uncharacterized protein,-0.519103776,no,6.809004456,0.03433005,0.139706468,no
BW25113_0249,193,no,ykfF,CP4-6 prophage; uncharacterized protein,-0.134322579,no,5.977014765,0.724043639,0.892832649,no
BW25113_0250,194,no,ykfB,CP4-6 prophage; uncharacterized protein,-0.1756409,no,7.392226735,0.361169407,0.655927778,no
BW25113_0251,195,no,yafY,"lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage",-0.165590584,no,6.390872471,0.577962907,0.805068971,no
BW25113_4627,196,no,ykfL,pseudogene,-0.055266004,no,6.074927193,0.869448425,0.959796628,no
BW25113_4628,197,no,ykfK,pseudogene,-0.338615622,no,5.276986246,0.4464561,0.721693985,no
BW25113_0252,198,no,yafZ,CP4-6 prophage; conserved protein,-0.161810325,no,7.579580873,0.376922848,0.670097899,no
BW25113_0253,199,no,ykfA,CP4-6 prophage; putative GTP-binding protein,-0.244913631,no,8.473703509,0.07736834,0.258554042,no
BW25113_0254,200,no,perR,CP4-6 prophage; putative DNA-binding transcriptional regulator,-0.673159067,no,7.448576767,0.000367565,0.002577561,yes
BW25113_4587,201,no,insN,pseudogene,-0.362073142,no,7.471271212,0.057356565,0.206783416,no
BW25113_4690,202,no,eyeA,,-0.294791146,no,3.756225687,0.611828656,0.829797466,no
BW25113_0258,203,no,ykfC,pseudogene,-0.351863275,no,8.286881059,0.02668846,0.113839786,no
BW25113_0260,204,no,mmuP,CP4-6 prophage; putative S-methylmethionine transporter,-0.309679336,no,8.004771024,0.066372573,0.231429217,no
BW25113_0261,205,no,mmuM,CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase,-0.345324462,no,7.267993963,0.094865497,0.29607703,no
BW25113_0262,206,no,afuC,CP4-6 prophage; putative ferric transporter subunit,-0.423138478,no,7.790965444,0.037134121,0.147323816,no
BW25113_0263,207,no,afuB,pseudogene,0.188422951,no,6.260878399,0.566370237,0.799369007,no
BW25113_4708,208,no,insI1,pseudogene,-0.454121516,no,2.450642472,0.522115367,0.770684348,no
BW25113_4505,209,no,insX,pseudogene,-0.099479053,no,5.861383039,0.789587738,0.921459938,no
BW25113_0266,210,no,yagB,pseudogene,-0.368030366,no,7.064907563,0.08689813,0.279593337,no
BW25113_0267,211,no,yagA,CP4-6 prophage; putative DNA-binding transcriptional regulator,-0.360830596,no,8.10856397,0.022155409,0.098592027,no
BW25113_0268,212,no,yagE,2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage,-0.110690947,no,7.27251649,0.630338809,0.843032457,no
BW25113_0269,213,no,yagF,CP4-6 prophage; dehydratase family protein,-0.245581013,no,7.832747698,0.166547929,0.429424498,no
BW25113_0270,214,no,yagG,CP4-6 prophage; putative sugar transporter,-0.245927835,no,8.623347729,0.10013319,0.307619204,no
BW25113_0271,215,no,yagH,CP4-6 prophage; putative xylosidase/arabinosidase,-0.206757623,no,8.52062025,0.152264346,0.405220871,no
BW25113_0272,216,no,yagI,CP4-6 prophage; putative DNA-binding transcriptional regulator,-0.230455565,no,7.459912939,0.265985652,0.555305556,no
