locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0148	hrpB	0	158592	161021	1	1706	0.123456790123457	2430	270	"putative ATP-dependent helicase"
BW25113_0149	mrcB	0	161217	163751	1	1364	0.12532865907099	2535	286	"fused glycosyl transferase and transpeptidase"
BW25113_0150	fhuA	0	163971	166214	1	1823	0.138118811881188	2244	279	"ferrichrome outer membrane transporter"
BW25113_0151	fhuC	0	166265	167062	1	541	0.123783031988873	798	89	"iron-hydroxamate transporter subunit"
BW25113_0152	fhuD	0	167062	167952	1	468	0.109725685785536	891	88	"iron-hydroxamate transporter subunit"
BW25113_0153	fhuB	0	167949	169931	1	1100	0.119327731092437	1983	213	"fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components"
BW25113_0154	hemL	0	170089	171369	-1	1	0.000867302688638335	1281	1	"glutamate-1-semialdehyde aminotransferase (aminomutase)"
BW25113_0155	clcA	0	171594	173015	1	1230	0.12890625	1422	165	"H(+)/Cl(-) exchange transporter"
BW25113_0156	erpA	0	173097	173441	1	0	0	345	0	"iron-sulfur cluster insertion protein"
BW25113_0157	yadS	0	173488	174111	-1	328	0.108540925266904	624	61	"UPF0126 family inner membrane protein"
BW25113_0158	btuF	0	174149	174949	-1	282	0.0859916782246879	801	62	"vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily"
BW25113_0159	mtn	0	174942	175640	-1	3	0.00476190476190476	699	3	"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
BW25113_0160	dgt	0	175724	177241	1	4194	0.246525237746891	1518	337	"deoxyguanosine triphosphate triphosphohydrolase"
BW25113_0161	degP	0	177371	178795	1	690	0.122369446609509	1425	157	"serine endoprotease (protease Do), membrane-associated"
BW25113_0162	cdaR	0	178950	180107	1	604	0.10738255033557	1158	112	"carbohydrate diacid regulon transcriptional regulator; autoregulator"
BW25113_0163	yaeH	0	180196	180582	-1	209	0.108882521489971	387	38	"UPF0325 family protein"
BW25113_0164	yaeI	0	180744	181556	-1	600	0.127049180327869	813	93	"phosphodiesterase with model substrate bis-pNPP"
BW25113_0166	dapD	0	181610	182434	-1	9	0.00134589502018843	825	1	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
BW25113_0167	glnD	0	182465	185137	-1	116	0.0133000831255195	2673	32	uridylyltransferase
BW25113_0168	map	0	185199	185993	-1	11	0.00139664804469274	795	1	"methionine aminopeptidase"
BW25113_4414	tff	0	186199	186334	1	2	0.016260162601626	136	2	
BW25113_0169	rpsB	0	186361	187086	1	3	0.00152905198776758	726	1	"30S ribosomal subunit protein S2"
BW25113_0170	tsf	0	187344	188195	1	0	0	852	0	"translation elongation factor EF-Ts"
BW25113_0171	pyrH	0	188342	189067	1	0	0	726	0	"uridylate kinase"
BW25113_0172	frr	0	189359	189916	1	0	0	558	0	"ribosome recycling factor"
BW25113_0173	dxr	0	190008	191204	1	0	0	1197	0	"1-deoxy-D-xylulose 5-phosphate reductoisomerase"
BW25113_0174	ispU	0	191390	192151	1	32	0.00291545189504373	762	2	"undecaprenyl pyrophosphate synthase"
BW25113_0175	cdsA	0	192164	193021	1	0	0	858	0	"CDP-diglyceride synthase"
BW25113_0176	rseP	0	193033	194385	1	1	0.000821018062397373	1353	1	"inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease"
BW25113_0177	bamA	0	194415	196847	1	0	0	2433	0	"BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor"
BW25113_0178	skp	0	196969	197454	1	113	0.0410958904109589	486	18	"periplasmic chaperone"
BW25113_0179	lpxD	0	197458	198483	1	0	0	1026	0	"UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase"
BW25113_0180	fabZ	0	198588	199043	1	0	0	456	0	"(3R)-hydroxymyristol acyl carrier protein dehydratase"
BW25113_0181	lpxA	0	199047	199835	1	0	0	789	0	"UDP-N-acetylglucosamine acetyltransferase"
BW25113_0182	lpxB	0	199835	200983	1	10	0.00289855072463768	1149	3	"tetraacyldisaccharide-1-P synthase"
BW25113_0183	rnhB	0	200980	201576	1	98	0.0464684014869888	597	25	"ribonuclease HII, degrades RNA of DNA-RNA hybrids"
BW25113_0184	dnaE	0	201613	205095	1	2	0.000637958532695375	3483	2	"DNA polymerase III alpha subunit"
BW25113_0185	accA	0	205108	206067	1	0	0	960	0	"acetyl-CoA carboxylase, carboxytransferase, alpha subunit"
BW25113_0186	ldcC	0	206166	208307	1	736	0.0803941908713693	2142	155	"lysine decarboxylase 2, constitutive"
BW25113_0187	yaeR	0	208364	208753	1	154	0.0997150997150997	390	35	"putative lyase"
BW25113_0188	tilS	0	208818	210116	1	39	0.00341880341880342	1299	4	"tRNA(Ile)-lysidine synthetase"
BW25113_0189	rof	0	210165	210419	-1	90	0.0521739130434783	255	12	"modulator of Rho-dependent transcription termination"
BW25113_4406	yaeP	0	210412	210612	-1	43	0.0883977900552486	201	16	"UPF0253 family protein"
BW25113_0190	yaeQ	0	210778	211323	1	179	0.101626016260163	546	50	"PDDEXK superfamily protein"
BW25113_0191	arfB	0	211320	211742	1	219	0.0971128608923885	423	37	"alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached"
BW25113_0192	nlpE	0	211756	212466	1	540	0.1234375	711	79	"lipoprotein involved with copper homeostasis and adhesion"
BW25113_0193	yaeF	0	212666	213490	-1	492	0.109017496635262	825	81	"putative lipoprotein"
BW25113_0194	proS	0	213544	215262	-1	1	0.000645994832041344	1719	1	"prolyl-tRNA synthetase"
BW25113_0195	tsaA	0	215374	216081	-1	376	0.120689655172414	708	77	"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent"
BW25113_0196	rcsF	0	216078	216482	-1	421	0.186301369863014	405	68	"putative outer membrane protein"
BW25113_0197	metQ	0	216600	217415	-1	391	0.127891156462585	816	94	"DL-methionine transporter subunit"
BW25113_0198	metI	0	217455	218108	-1	463	0.157894736842105	654	93	"DL-methionine transporter subunit"
BW25113_0199	metN	0	218101	219132	-1	687	0.133476856835307	1032	124	"DL-methionine transporter subunit"
BW25113_0200	gmhB	0	219320	219895	1	33	0.0443159922928709	576	23	"D,D-heptose 1,7-bisphosphate phosphatase"
BW25113_0201	rrsH	0	220258	221799	1	0	0	1542	0	
BW25113_0202	ileV	0	221868	221944	1	0	0	77	0	
BW25113_0203	alaV	0	221987	222062	1	6	0.0144927536231884	76	1	
BW25113_0204	rrlH	0	222246	225149	1	24	0.00114766641162969	2904	3	
BW25113_0205	rrfH	0	225243	225362	1	0	0	120	0	
BW25113_0206	aspU	0	225415	225491	1	3	0.0142857142857143	77	1	
BW25113_0207	dkgB	0	225654	226457	1	153	0.0469613259668508	804	34	"2,5-diketo-D-gluconate reductase B"
BW25113_0208	yafC	0	226454	227368	-1	147	0.0485436893203883	915	40	"LysR family putative transcriptional regulator"
BW25113_0209	yafD	0	227609	228409	1	200	0.0638002773925104	801	46	"endo/exonuclease/phosphatase family protein"
BW25113_0210	yafE	0	228413	229036	1	254	0.0854092526690391	624	48	"putative S-adenosyl-L-methionine-dependent methyltransferase"
BW25113_0211	mltD	0	229084	230442	-1	591	0.0857843137254902	1359	105	"putative membrane-bound lytic murein transglycosylase D"
BW25113_0212	gloB	0	230514	231269	-1	148	0.0543318649045521	756	37	"hydroxyacylglutathione hydrolase"
BW25113_0213	yafS	0	231303	232025	1	147	0.0614439324116743	723	40	"putative S-adenosyl-L-methionine-dependent methyltransferase"
BW25113_0214	rnhA	0	232022	232489	-1	80	0.0521327014218009	468	22	"ribonuclease HI, degrades RNA of DNA-RNA hybrids"
BW25113_0215	dnaQ	0	232554	233285	1	3	0.00303490136570561	732	2	"DNA polymerase III epsilon subunit"
BW25113_0216	aspV	0	233418	233494	1	72	0.1	77	7	
BW25113_0217	yafT	0	233822	234607	1	264	0.0550847457627119	786	39	lipoprotein
BW25113_4586	ykfM	0	234744	235223	-1	2	0.00231481481481481	480	1	"lethality reduction protein, putative inner membrane protein"
BW25113_0218	yafU	0	235233	235589	-1	193	0.0745341614906832	357	24	pseudogene
BW25113_4503	yafF	0	235593	235865	1	155	0.0853658536585366	273	21	pseudogene
BW25113_0219	yafV	0	235906	236676	-1	343	0.12536023054755	771	87	"putative NAD(P)-binding C-N hydrolase family amidase"
BW25113_0220	ivy	0	236830	237303	1	458	0.159250585480094	474	68	"inhibitor of c-type lysozyme, periplasmic"
BW25113_0221	fadE	0	237346	239790	-1	977	0.0881417537482962	2445	194	"acyl coenzyme A dehydrogenase"
BW25113_0222	gmhA	0	240030	240608	1	5	0.00957854406130268	579	5	"D-sedoheptulose 7-phosphate isomerase"
BW25113_0223	yafJ	0	240814	241581	1	497	0.101156069364162	768	70	"putative amidotransfease"
BW25113_0224	yafK	0	241552	242292	-1	622	0.142428785607196	741	95	"L,D-transpeptidase-related protein"
BW25113_0225	yafQ	0	242448	242726	-1	268	0.162698412698413	279	41	"translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ"
BW25113_0226	dinJ	0	242729	242989	-1	315	0.174468085106383	261	41	"antitoxin of YafQ-DinJ toxin-antitoxin system"
BW25113_0227	yafL	0	243199	243948	1	375	0.115555555555556	750	78	"putative lipoprotein and C40 family peptidase"
BW25113_0228	rayT	0	244124	244621	1	459	0.131403118040089	498	59	"RAYT REP element-mobilizing transposase; TnpA(REP)"
BW25113_0229	lfhA	0	244845	246557	-1	887	0.0985732814526589	1713	152	pseudogene
BW25113_0230	lafU	0	246559	247314	1	313	0.0910425844346549	756	62	pseudogene
BW25113_0231	dinB	0	247385	248440	1	349	0.0988433228180862	1056	94	"DNA polymerase IV"
BW25113_0232	yafN	0	248492	248785	1	2	0.00754716981132075	294	2	"antitoxin of the YafO-YafN toxin-antitoxin system"
BW25113_0233	yafO	0	248788	249186	1	265	0.130555555555556	399	47	"mRNA interferase toxin of the YafO-YafN toxin-antitoxin system"
BW25113_0234	yafP	0	249196	249648	1	17	0.0122549019607843	453	5	"putative acyl-CoA transferase"
BW25113_0235	ykfJ	0	249966	250172	1	456	0.358288770053476	207	67	pseudogene
BW25113_0236	prfH	0	250189	250689	1	475	0.150776053215078	501	68	pseudogene
BW25113_0237	pepD	0	250746	252203	-1	1025	0.125666412795126	1458	165	"aminoacyl-histidine dipeptidase (peptidase D)"
BW25113_0238	gpt	0	252464	252922	1	445	0.0966183574879227	459	40	"xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase"
BW25113_0239	frsA	0	253014	254258	1	837	0.139161462979483	1245	156	"fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity"
BW25113_0240	crl	0	254316	254717	1	1489	0.237569060773481	402	86	"RNA polymerase holoenzyme assembly factor crl"
BW25113_0241	phoE	0	254756	255811	-1	1863	0.176656151419558	1056	168	"outer membrane phosphoporin protein E"
